"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"212355_at",0.674751862527715,7.68744631205674,2.19363456091168,0.0299237063646046,0.0486385333921598,-5.03777109789488
"209909_s_at",1.20416818181818,5.44503886524823,2.19362453251088,0.0299244438715113,0.0486385333921598,-5.03779243405123
"229728_at",0.59141199556541,5.7561980141844,2.1936048091268,0.0299258944112709,0.0486385333921598,-5.03783439672832
"202594_at",0.503084101995567,8.41765794326241,2.19350656527183,0.0299331205834145,0.0486476313143105,-5.03804341115204
"210757_x_at",0.721649445676276,8.55166829787234,2.1934764394924,0.0299353367414318,0.0486485863603956,-5.03810750218915
"1554501_at",-0.520921796008866,5.92603184397163,-2.19321972990003,0.0299542269838125,0.0486766372565648,-5.03865360525531
"228607_at",1.00458607538803,5.64536269503546,2.19308403733077,0.0299642162463793,0.0486902214930422,-5.03894224248113
"201210_at",0.203903991130817,11.9454290780142,2.19242249321437,0.0300129585201949,0.0487667723619136,-5.04034920148764
"218731_s_at",-0.697369201773836,6.36498567375887,-2.19236265614717,0.0300173706838039,0.0487712887217053,-5.04047644225597
"204971_at",-1.51881929046563,8.62980943262411,-2.19162646693632,0.0300717006826395,0.0488569051227764,-5.04204164957937
"214210_at",-0.528145254988916,4.17692226950355,-2.19149269319837,0.0300815822121273,0.0488703015783598,-5.04232601244063
"200905_x_at",0.54313082039911,12.8240687943262,2.19135370250101,0.0300918520931453,0.0488843274554641,-5.04262144784001
"235241_at",0.32926627494457,6.26833134751773,2.19114831681556,0.0301070334080091,0.0489063300161749,-5.0430579788816
"214332_s_at",-0.410116984478936,3.23573723404255,-2.19099590504594,0.030118303396219,0.048921976910187,-5.04338189337742
"222437_s_at",-0.318574767184034,10.6987374468085,-2.19063796650171,0.0301447853373948,0.0489623299469332,-5.04414252285809
"231188_at",-0.578275166297122,6.39944368794326,-2.19052586051805,0.0301530836125199,0.0489725946428159,-5.0443807273846
"219648_at",0.542759312638584,9.25005212765957,2.19050829862738,0.0301543837532205,0.0489725946428159,-5.04441804213083
"207467_x_at",0.497797073170734,10.5495637588652,2.19006098857521,0.0301875154003696,0.0490237372957457,-5.04536837310103
"204264_at",0.423012682926829,7.45236560283688,2.18999221581,0.0301926121089753,0.0490293488547194,-5.0455144679723
"225282_at",0.498758070953437,7.86455907801418,2.18964665049101,0.0302182330635534,0.0490682870200321,-5.04624849203879
"213128_s_at",0.357772793791574,8.97890234042553,2.18952718217112,0.0302270950929819,0.0490800093332236,-5.04650223258847
"242663_at",0.629833148558759,4.6501029787234,2.18942661765599,0.0302345566085564,0.0490894564686889,-5.04671581305112
"224215_s_at",-0.794874656319291,4.06772531914894,-2.18897019618255,0.0302684415061828,0.0491418017996846,-5.04768505294224
"203474_at",-0.873109201773837,8.36091425531915,-2.18888354606401,0.0302748781666031,0.0491495807549011,-5.04786903865778
"226127_at",-0.794895454545455,7.07455992907801,-2.18865748257454,0.0302916765148707,0.0491741795744338,-5.04834901123372
"201288_at",0.581093835920175,11.8989717730496,2.18851912999654,0.0303019612245465,0.0491882023398837,-5.04864273528914
"231599_x_at",-0.140158403547673,4.9828695035461,-2.18834410354547,0.0303149765031759,0.0492066557856647,-5.04901429355909
"216033_s_at",0.776878381374724,6.09876546099291,2.18816951106008,0.0303279643479309,0.0492250626984917,-5.0493849029499
"244455_at",-0.734763281596452,3.46044340425532,-2.18813800502848,0.0303303085799522,0.0492261929919,-5.04945177821114
"205310_at",0.385830576496674,7.77470212765957,2.18757738022521,0.0303720486468106,0.049291259261486,-5.05064162010812
"204729_s_at",0.52760756097561,3.33080879432624,2.18747971651377,0.0303793250796146,0.04930038994477,-5.05084886755988
"53076_at",-0.430575942350331,6.89131624113475,-2.18723895128431,0.0303972697543481,0.0493268314070097,-5.05135974695997
"205109_s_at",-0.682614345898004,3.04080269503546,-2.187189866173,0.0304009292871506,0.0493300902007088,-5.05146389414845
"220936_s_at",-0.849234124168515,5.07904680851064,-2.18687763951389,0.0304242162544795,0.049365195381569,-5.05212631542827
"218170_at",0.721482749445677,9.42437170212766,2.18680791485869,0.0304294186807349,0.0493709550428847,-5.05227423146989
